IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT
1 150 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 149 0 0 2727.200000 0.000000 66000 0.005600 0.560000 4210 4210 2216.500000
1 148 0 0 2479.120000 0.000000 60000 0.005600 0.560000 3827 3827 2015.000000
1 147 0 0 2148.720000 0.000000 52000 0.005600 0.560000 3317 3317 1746.333333
1 146 0 0 2727.200000 0.000000 66000 0.005600 0.560000 4210 4210 2216.500000
1 145 0 0 2850.960000 0.000000 69000 0.005600 0.560000 4401 4401 2317.250000
1 144 0 0 2479.120000 0.000000 60000 0.005600 0.560000 3827 3827 2015.000000
1 143 0 0 1528.800000 0.000000 37000 0.005600 0.560000 2360 2360 1242.583333
1 142 0 0 2479.120000 0.000000 60000 0.005600 0.560000 3827 3827 2015.000000
1 141 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 140 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 139 0 0 2975.280000 0.000000 72000 0.005600 0.560000 4593 4593 2418.000000
1 138 0 0 2933.840000 0.000000 71000 0.005600 0.560000 4529 4529 2384.416667
1 137 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 136 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 135 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 134 0 0 1487.920000 0.000000 36000 0.005600 0.560000 2297 2297 1209.000000
1 133 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 132 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 131 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 130 0 0 2520.560000 0.000000 61000 0.005600 0.560000 3891 3891 2048.583333
1 129 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 128 0 0 2810.080000 0.000000 68000 0.005600 0.560000 4338 4338 2283.666667
1 127 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 126 0 0 2231.600000 0.000000 54000 0.005600 0.560000 3445 3445 1813.500000
1 125 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 124 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 123 0 0 2065.840000 0.000000 50000 0.005600 0.560000 3189 3189 1679.166667
1 122 0 0 2810.080000 0.000000 68000 0.005600 0.560000 4338 4338 2283.666667
1 121 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 120 0 0 2727.200000 0.000000 66000 0.005600 0.560000 4210 4210 2216.500000
1 119 0 0 2231.600000 0.000000 54000 0.005600 0.560000 3445 3445 1813.500000
1 118 0 0 2107.280000 0.000000 51000 0.005600 0.560000 3253 3253 1712.750000
1 117 0 0 2520.560000 0.000000 61000 0.005600 0.560000 3891 3891 2048.583333
1 116 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 115 0 0 2520.560000 0.000000 61000 0.005600 0.560000 3891 3891 2048.583333
1 114 0 0 2727.200000 0.000000 66000 0.005600 0.560000 4210 4210 2216.500000
1 113 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 112 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 111 0 0 1900.640000 0.000000 46000 0.005600 0.560000 2934 2934 1544.833333
1 110 0 0 2520.560000 0.000000 61000 0.005600 0.560000 3891 3891 2048.583333
1 109 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 108 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 107 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 106 0 0 1859.760000 0.000000 45000 0.005600 0.560000 2871 2871 1511.250000
1 105 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 104 0 0 2148.720000 0.000000 52000 0.005600 0.560000 3317 3317 1746.333333
1 103 0 0 2603.440000 0.000000 63000 0.005600 0.560000 4019 4019 2115.750000
1 102 0 0 2148.720000 0.000000 52000 0.005600 0.560000 3317 3317 1746.333333
1 101 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 100 0 0 1942.080000 0.000000 47000 0.005600 0.560000 2998 2998 1578.416667
1 99 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 98 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 97 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 96 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 95 0 0 1983.520000 0.000000 48000 0.005600 0.560000 3062 3062 1612.000000
1 94 0 0 1859.760000 0.000000 45000 0.005600 0.560000 2871 2871 1511.250000
1 93 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 92 0 0 2107.280000 0.000000 51000 0.005600 0.560000 3253 3253 1712.750000
1 91 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 90 0 0 2065.840000 0.000000 50000 0.005600 0.560000 3189 3189 1679.166667
1 89 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 88 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 87 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 86 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 85 0 0 1942.080000 0.000000 47000 0.005600 0.560000 2998 2998 1578.416667
1 84 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 83 0 0 1983.520000 0.000000 48000 0.005600 0.560000 3062 3062 1612.000000
1 82 0 0 2148.720000 0.000000 52000 0.005600 0.560000 3317 3317 1746.333333
1 81 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 80 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 79 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 78 0 0 2933.840000 0.000000 71000 0.005600 0.560000 4529 4529 2384.416667
1 77 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 76 0 0 2603.440000 0.000000 63000 0.005600 0.560000 4019 4019 2115.750000
1 75 0 0 1983.520000 0.000000 48000 0.005600 0.560000 3062 3062 1612.000000
1 74 0 0 2065.840000 0.000000 50000 0.005600 0.560000 3189 3189 1679.166667
1 73 0 0 2479.120000 0.000000 60000 0.005600 0.560000 3827 3827 2015.000000
1 72 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 71 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 70 0 0 2975.280000 0.000000 72000 0.005600 0.560000 4593 4593 2418.000000
1 69 0 0 1818.320000 0.000000 44000 0.005600 0.560000 2807 2807 1477.666667
1 68 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 67 0 0 2313.920000 0.000000 56000 0.005600 0.560000 3572 3572 1880.666667
1 66 0 0 2644.320000 0.000000 64000 0.005600 0.560000 4082 4082 2149.333333
1 65 0 0 1776.880000 0.000000 43000 0.005600 0.560000 2743 2743 1444.083333
1 64 0 0 2520.560000 0.000000 61000 0.005600 0.560000 3891 3891 2048.583333
1 63 0 0 1818.320000 0.000000 44000 0.005600 0.560000 2807 2807 1477.666667
1 62 0 0 1900.640000 0.000000 46000 0.005600 0.560000 2934 2934 1544.833333
1 61 0 0 1983.520000 0.000000 48000 0.005600 0.560000 3062 3062 1612.000000
1 60 0 0 2190.160000 0.000000 53000 0.005600 0.560000 3381 3381 1779.916667
1 59 0 0 2272.480000 0.000000 55000 0.005600 0.560000 3508 3508 1847.083333
1 58 0 0 1983.520000 0.000000 48000 0.005600 0.560000 3062 3062 1612.000000
1 57 0 0 1611.680000 0.000000 39000 0.005600 0.560000 2488 2488 1309.750000
1 56 0 0 2065.840000 0.000000 50000 0.005600 0.560000 3189 3189 1679.166667
1 55 0 0 2933.840000 0.000000 71000 0.005600 0.560000 4529 4529 2384.416667
1 54 0 0 2107.280000 0.000000 51000 0.005600 0.560000 3253 3253 1712.750000
1 53 0 0 1900.640000 0.000000 46000 0.005600 0.560000 2934 2934 1544.833333
1 52 0 0 2562.000000 0.000000 62000 0.005600 0.560000 3955 3955 2082.166667
1 51 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 50 0 0 2148.720000 0.000000 52000 0.005600 0.560000 3317 3317 1746.333333
1 49 0 0 2479.120000 0.000000 60000 0.005600 0.560000 3827 3827 2015.000000
1 48 0 0 2438.240000 0.000000 59000 0.005600 0.560000 3764 3764 1981.416667
1 47 0 0 2396.800000 0.000000 58000 0.005600 0.560000 3700 3700 1947.833333
1 46 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 45 0 0 2355.360000 0.000000 57000 0.005600 0.560000 3636 3636 1914.250000
1 44 0 0 1859.760000 0.000000 45000 0.005600 0.560000 2871 2871 1511.250000
1 43 0 0 2024.960000 0.000000 49000 0.005600 0.560000 3126 3126 1645.583333
1 42 0 0 2065.840000 0.000000 50000 0.005600 0.560000 3189 3189 1679.166667
1 41 0 0 2231.600000 0.000000 54000 0.005600 0.560000 3445 3445 1813.500000
